"RESTAURANT","STREET_ADDRESS","CITY_ZIP","COMMENTS"
"LINCOLN RISTORANTE","LINCOLN CENTER 142 WEST 65 STREET UPPER WEST SIDE NEW YORK"," NY 10023","FOOD WAS VERY GOOD. CHEESECAKE DESSERT WAS FABULOUS.THE SERVICE SETS THIS RESTAURANT APART. OUR WAITER WAS KNOWLEDGEABLE  PROFESSIONAL  AND DISCREET.  WE SHARED SEVERAL DISHES: - LOBSTER SALAD WAS A LITTLE...FANTASTIC MEAL. THE MENU FOR 60 DOLLARS IS A GREAT PRIX FIXE. THE TUNA BELLY STARTER WAS GREAT AND THE OCTOPUS SALAD WAS VERY TASTY. THE DUCK WAS QUITE..."
"PICHOLINE","35 WEST 64 STREET UPPER WEST SIDE NEW YORK"," NY 10023","PICHOLINE WAS BEIGE....VERY BEIGE.  THE WALLS - BEIGE.  THE FOOD - BEIGE.  NOTHING STOOD OUT. FOOD WAS DISAPPOINTING.  IT TASTED.....BEIGE.  I WAS REALLY...IT IS  PERHAPS  A BIT FELICITOUS THAT I JUST HAPPENED TO WANDER THROUGH A PARK FILLING UP WITH PROTESTORS  THAT WOULD IN THE FOLLOWING WEEKS BECOME KNOWN AS...I HAVE TO AGREE WITH MICHAEL S. ALTHOUGH THE STAFF ARE PERFECTLY NICE  WILLING  BUT LESS KNOWLEDGEABLE THAN THEY APPEAR  THE FOOD IS MEDIOCRE. MY APPETIZER..."
"ATLANTIC GRILL","49 WEST 64 STREET UPPER WEST SIDE NEW YORK"," NY 10023","I'VE BEEN HERE TWICE FOR DINNER IN ""BOTH"" ATLANTIC GRILLS.....I'LL EXPLAIN-  THERE IS A 64TH STREET ENTRANCE AND ALSO A 65TH STREET ENTRANCE TO THIS...MY FRIEND PICKED THIS PLACE FOR SUMMER RESTAURANT WEEK.; ONE OF THE FEW WE WERE INTERESTED IN THIS SUMMER.   IS IT TRUE THAT THE RESTAURANT WEEK MENU IS...DEPENDABLE"
"CELESTE","502 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","BEST ITALIAN IN THE CITY.  2ND PLACE IS BIANCA - WHICH TURNS OUT IS OWNED BY THE SAME GUY.  DOWNSIDE IS CASH ONLY.  OTHER DOWNSIDE IS THE PLACE IS SUPER...GREAT LITTLE HOLE IN THE WALL FIND FOR DATE NIGHT ON THE UPPER WEST SIDE!! THE FOOD WAS DECENTLY PRICED AND DELICIOUS! WE HAD THE QUATTRO PIZZA (WITH A SIDE...MY FAVORITE ITALIAN RESTAURANT IN THE CITY. GREAT FOOD  CHEAP AND FRIENDLY ATMOSPHERE. THE OWNER ALWAYS HANGS AROUND AND MEETS UP WITH THE PATRONS.   IF YOU..."
"DOVETAIL","103 WEST 77 STREET UPPER WEST SIDE NEW YORK"," NY 10024","HAVING RETURNED TO DOVETAIL A FEW MORE TIMES FOR BRUNCH AND DINNER SINCE MY FIRST RESTAURANT WEEK VISIT A COUPLE YEARS BACK  I THINK IT'S TIME FOR ME TO...GOOD PLACE IF YOU DIG WINE. I LIKE THEIR FOIE GRA *SPELLCHECK (DUCK LIVER).ALRIGHT  DOVETAIL  HERE WE GO. HAVING BEEN TO MANY UPSCALE RESTAURANTS  I FEEL LIKE I KNOW WHAT I WANT  AND WHAT RESTAURANTS ARE EXQUISITE  VERSUS GOOD..."
"BAR BOULUD","1900 BROADWAY UPPER WEST SIDE NEW YORK"," NY 10023","I HAD WANTED TO TRY ALL OF DANIEL BOULUD'S RESTAURANTS  BUT HAD ALWAYS BEEN A BIT WEARY OF HOW THE EXPERIENCE WOULD TURN OUT.  ALLOW ME TO EXPLAIN.  I...UPSCALE FRENCH.WENT TO BAR BOULUD FOR RESTAURANT WEEK LUNCH. THE SERVICE WAS QUITE GOOD  BUT FOOD WAS REALLY JUST AVERAGE. I ORDERED THE SALAD  CROQUE MONSIEUR  AND PEACH..."
"OUEST","2315 BROADWAY UPPER WEST SIDE NEW YORK"," NY 10024","EXTREMELY GOOD SERVICE AND DELICIOUS FOOD. THE FOOD WAS GOOD FROM APPETIZER TO DESSERT  NO COMPLAINTS AND OUR WAITER WAS FRIENDLY & ATTENTIVE. GREAT SPOTFRIENDLY SERVICE  BIG PORTIONS  AND NICE WINE LIST. THE INSIDE FEELS LIKE AN OLD MANHATTAN MEN'S CLUB WITH BIG RED BOOTHS THAT ARE GREAT FOR GROUPS. THE...TERRIFIC ROOM. MANY FOOD ITEMS FROM THE MENU AND EVEN SOME STANDARD DRINK ITEMS WERE NOT AVAILABLE. (THERE WERE SEVERAL ""WE'RE OUT OF THATS."") SERVICE WAS..."
"TELEPAN","72 WEST 69 STREET UPPER WEST SIDE NEW YORK"," NY 10023","I WENT HERE WITH MY COWORKER (WE ARE BOTH PASTRY CHEFS). WE THOUGHT IT WOULD BE FUN TO GO THINKING THEY HAD A PRICE FIXE FOR FASHION NIGHT OUT WHICH THEY...BEEN HERE TWICE FOR TWO DIFFERENT RESTAURANT WEEKS  AND ANOTHER TIME ON A COUPON DEAL.  IT IS UNFORTUNATELY A BIT OUT OF MY PRICE RANGE TO GO HERE ON A...I LIKE THIS PLACE. IT'S IN THE HOOD  SO IF WE WANT A NICE NIGHT OUT AND DON'T WANT TO TRAVEL THIS PLACE IS GREAT. I'VE ENJOYED EVERYTHING I'VE HAD AND..."
"LOI","208 WEST 70 STREET UPPER WEST SIDE NEW YORK"," NY 10023","THIS WAS A GREAT MEAL I HAD THE PASTISTIO.  IT WAS SO DELICATE AND TASTY.  THE EXECUTIVE CHEF ACTUALLY MADE THE ROUNDS OF THE ROOM AND THE WAIT STAFF WAS...LOI IS IN THE OLD COMPASS SPACE. FOR THOSE WHO REMEMBER COMPASS  LOI IS A DEFINITE UPGRADE - AND THEY MAY HAVE A CHANCE OF SURVIVING IF THEY CAN KEEP THIS...I REALLY  REALLY WANTED TO LIKE THIS PLACE.  WE WERE VISITING NYC FROM TAMPA AND I VETTED LIVING SOCIAL DEALS FOR WEEKS  CHECKING THEM OUT ON YELP.  THIS..."
"LAND THAI KITCHEN","450 AMSTERDAM AVENUE UPPER WEST SIDE NEW YORK"," NY 10024","DRUNKEN NOODLE WITH CHICKEN WAS DISAPPOINTMENT. I PREFER BROAD NOODLE THAN UDON NOODLE. THE NOODLE WAS NOT THE ONLY THING I DIDN'T LIKE. THE FLAVOR WAS...THE MASAMAN CURRY AND THE PAD THAI ARE VERY GOOD HERE.  ALTHOUGH I WOULDN'T CONSIDER THIS THE BEST THAI I'VE EVER HAD  BUT EVERYTHING WAS PRETTY GOOD.  WE...GOOD SERVICE  GREAT ATMOSPHERE  AND GREAT FOOD! LIVELY CROWD."
