ROOM SERVICE,06C;02G;04A;02G;08C;04M;04L;10G;04M;06D;02G;02G;06D;08A;04N;08A;10L;02B;10B;04M;08A;06C;10B;08A;06C;10F;06F;04M;10F;04M;10F;04H;04M;10F;04N;04L;99B;02G;10I;06F;10F;04H;18I;06D;10F;08A;04I;10G;10G;04M;08A;10H;04M;10F;06F;04M;10H;06E;04H;04N;10F;08A;10H;08A;10G;06C;10B;02G;06F;08A;06E;08A;10B;08A;02G;06E;05D;10F;18A;10B;04N;06B;08A;04M;08A;02G;16A;04L;10F;06E;04A;04N;06C;02G;99B;04L;08A;02G;04M;09D;10F;04H;02B;06E;04L;02G;09D;10I;02B;04C;04M;10B;10F;02G;06D;06E;04N;04M;04M;04A;04L;10D;06D;04I;09C;04L;04M;
CANTON GOURMET,
PEKING DUCK HOUSE,02G;04M;08A;06A;04L;10F;06C;09C;02H;02G;22A;06C;06D;08A;04L;10F;02G;08A;10B;04L;04L;10A;06C;08A;10D;04H;08C;04M;06D;10B;99B;08A;04M;10A;05D;06F;18A;09C;04L;10G;08A;02B;02G;02G;08A;10D;02G;06E;08A;04N;08A;10G;04L;10D;04I;08C;10B;09B;10I;04L;08C;05D;10B;02G;06D;10K;06A;10A;10B;10F;10B;99B;02G;08A;99B;02G;09B;08A;10F;02G;06F;04L;06C;10B;99B;04L;10F;10F;06C;02B;10B;04M;10F;04L;06C;06C;10B;06D;04L;10D;10E;04A;04H;08A;02G;06E;02B;04L;10F;06D;02G;02G;04M;06C;06C;04H;02B;06A;05D;06A;06B;10B;;
CREMA,10F;10B;04C;09C;06F;08A;02G;06D;02B;04N;06C;10B;05D;10F;10G;06C;10G;02C;06E;02G;10B;
SHANGHAI ASIAN MANOR,
DAFNI GREEK TAVERNA,
SENTOSA MALAYSIAN CUISINE,10F;10B;06D;10H;08A;10C;04I;02G;08A;10B;06C;04L;10F;04M;10H;10F;06A;10G;02B;06C;10B;09C;04H;06A;02G;02G;04M;08A;06E;02G;06D;02B;06F;06C;10E;08A;05D;08A;08B;02G;08C;04M;04M;02B;04M;02B;10B;04M;10F;02B;08A;
TOUT VA BIEN,04J;06C;02B;10B;06D;04H;02G;06C;04M;04N;10A;16B;06C;10H;06D;04M;02G;06E;08A;06D;10B;04K;08A;04A;10G;10B;99B;02G;10B;10F;04L;06C;08A;10G;22C;02G;99B;04L;06D;08A;09C;06A;18I;06C;08A;10B;04C;08C;10G;02G;02G;02G;06D;10F;02G;02G;10B;04L;02C;06D;02B;04M;10A;08A;04L;09C;04L;02B;08A;04L;06D;08A;
BECCO,06C;10F;10M;06C;04C;02G;99B;06D;06E;10G;
SPICY & TASTY,04L;04N;06C;08A;04M;06A;06B;02G;09C;02G;06E;99B;08A;02B;08A;02G;06F;08A;09B;04M;04L;10F;06A;10F;04L;10F;04N;02B;06C;09C;10B;09C;02B;06E;06C;09B;08A;08B;04L;06D;04M;08A;04L;06C;02G;09B;04N;06D;08A;04O;08A;04L;06C;10B;06C;04L;08C;10F;06A;06B;10B;04M;
