restaurant,street_address,city_zip,comments
Lincoln Ristorante,Lincoln Center 142 W 65th St Upper West Side New York, NY 10023,Food was very good. Cheesecake dessert was fabulous.The service sets this restaurant apart. Our waiter was knowledgeable  professional  and discreet.  We shared several dishes: - Lobster salad was a little...Fantastic meal. The menu for 60 dollars is a great Prix fixe. The tuna belly starter was great and the octopus salad was very tasty. The duck was quite...
Picholine,35 W 64th St (b/t W Central Park & Broadway) Upper West Side New York, NY 10023,Picholine was beige....VERY beige.  The walls - beige.  The food - beige.  Nothing stood out. Food was disappointing.  It tasted.....beige.  I was really...It is  perhaps  a bit felicitous that I just happened to wander through a park filling up with protestors  that would in the following weeks become known as...I have to agree with Michael S. Although the staff are perfectly nice  willing  but less knowledgeable than they appear  the food is mediocre. My appetizer...
Atlantic Grill,49 W 64th St (b/t W Central Park & Broadway) Upper West Side New York, NY 10023,I've been here twice for dinner in "both" Atlantic Grills.....I'll explain-  There is a 64th street entrance and also a 65th street entrance to this...My friend picked this place for summer restaurant week.; one of the few we were interested in this summer.   Is it true that the restaurant week menu is...Dependable
Celeste,502 Amsterdam Ave (b/t 84th St & 85th St) Upper West Side New York, NY 10024,best italian in the city.  2nd place is bianca - which turns out is owned by the same guy.  downside is cash only.  other downside is the place is super...Great little hole in the wall find for date night on the Upper West Side!! The food was decently priced and delicious! We had the quattro pizza (with a side...My favorite Italian restaurant in the city. Great food  cheap and friendly atmosphere. The owner always hangs around and meets up with the patrons.   If you...
Dovetail,103 W 77th St (b/t Amsterdam Ave & Columbus Ave) Upper West Side New York, NY 10024,Having returned to Dovetail a few more times for brunch and dinner since my first Restaurant Week visit a couple years back  I think it's time for me to...Good place if you dig wine. I like their foie gra *spellcheck (duck liver).Alright  Dovetail  here we go. Having been to many upscale restaurants  I feel like I know what I want  and what restaurants are exquisite  versus good...
Bar Boulud,1900 Broadway (b/t 63rd St & 64th St) Upper West Side New York, NY 10023,I had wanted to try all of Daniel Boulud's restaurants  but had always been a bit weary of how the experience would turn out.  Allow me to explain.  I...Upscale French.Went to Bar Boulud for restaurant week lunch. The service was quite good  but food was really just average. I ordered the salad  croque Monsieur  and peach...
Ouest,2315 Broadway (b/t 83rd St & 84th St) Upper West Side New York, NY 10024,Extremely good service and delicious food. The food was good from appetizer to dessert  no complaints and our waiter was friendly & attentive. Great spotFriendly service  big portions  and nice wine list. The inside feels like an old manhattan men's club with big red booths that are great for groups. The...Terrific room. Many food items from the menu and even some standard drink items were not available. (There were several "We're out of thats.") Service was...
Telepan,72 W 69th St (b/t W Central Park & Columbus Ave) Upper West Side New York, NY 10023,I went here with my coworker (we are both pastry chefs). We thought it would be fun to go thinking they had a price fixe for Fashion Night Out which they...Been here twice for two different Restaurant Weeks  and another time on a coupon deal.  It is unfortunately a bit out of my price range to go here on a...I like this place. It's in the hood  so if we want a nice night out and don't want to travel this place is great. I've enjoyed everything I've had and...
Loi,208 W 70th St (b/t Amsterdam Ave & End Ave) Upper West Side New York, NY 10023,This was a great meal I had the Pastistio.  It was so delicate and tasty.  The executive chef actually made the rounds of the room and the wait staff was...Loi is in the old Compass space. For those who remember Compass  Loi is a definite upgrade - and they may have a chance of surviving if they can keep this...I really  really wanted to like this place.  We were visiting NYC from Tampa and I vetted Living Social deals for weeks  checking them out on Yelp.  This...
Land Thai Kitchen,450 Amsterdam Ave (b/t 81st St & 82nd St) Upper West Side New York, NY 10024,Drunken noodle with chicken was disappointment. I prefer broad noodle than Udon noodle. The noodle was not the only thing I didn't like. The flavor was...The masaman curry and the pad thai are very good here.  Although I wouldn't consider this the best thai i've ever had  but everything was pretty good.  We...Good service  great atmosphere  and great food! Lively crowd.
Sushi Yasaka,251 W 72nd St (b/t Broadway & West 72nd St) Upper West Side New York, NY 10023,Some of the best sushi in the city. Great quality very affordable and good atmosphere. I've brought many friends here and they love it! My favorite roll is...A very solid sushi spot in the UWS.Great Sushi  service was very good and the green tea ice cream just yummy!  The only thing I had mixed feelings about was the spicy scallops roll - buffalo...
Ocean Grill,384 Columbus Ave (b/t 77th St & 78th St) Upper West Side New York, NY 10024,I love this place- from the ambiance  the view outdoors to the History museum across the street  the excellent wine list and... the seafood- the amazing...Decent meal but not memorable.. Came for a friend's birthday dinner. Service was good and it was not as noisy in the side room as the main room but food was...Pricey but well worth it!!  Their salmon melts in your mouth  their calamari is to die for.
'Cesca,164 W 75th St Upper West Side New York, NY 10024 ,Was looking for something near The Beacon Theater and asked my brother-in-law who lives on the UWS for a recommendation. Lovely restaurant with interesting...Great food though a little out of my price range unless its a special occasion.  I've been here a couple times and always try something different....*Restaurant week 2012 review  'Cesca provided everything I needed for an amazing evening out with a good friend. Wine great food and great service. I had...
Rosa Mexicano,61 Columbus Ave (b/t 62nd St & 63rd St) Upper West Side New York, NY 10023,Capping off a weekend in NY   I came here with the parents and the BF for an early Sunday dinner.  This gorgeous upscale Mexican restaurant near Lincoln...Inconsistent  overpriced and vastly overrated. I've been here a few times and the food is "alright"  not all right.   Like many Mexican restaurants  they...This place is really popular.  I don't get it.  Simply because it's NYC?  The food is good but not good enough or unique enough to warrant the higher...
Calle Ocho,Inside the Excelsior Hotel 45 W 81st St Upper West Side New York, NY 10024,Went for brunch and it was amazing. The food is fantastic and the free sangria is delicious!During my 5-week stay in NYC  this restaurant wins # 1 for overall experience.   Food: Their complimentary bread & bean sauce/dip were so great! Their...I love this place!!
